"memberNumber","Recency","Frequency","Monetary","recency.log","frequency.log","monetary.log","recency.z","frequency.z","monetary.z","response","cluster"
1000,257.239583333333,13,696.230769230769,5.55000788150689,2.56494935746154,6.54568117036563,-0.958153383730126,0.708096889710195,1.03787913335105,"no","4"
1001,464.239583333333,12,690.333333333333,6.14040076235768,2.484906649788,6.53717457272747,0.487757737145586,0.576681247219135,0.99290825133916,"no","2"
1002,344.239583333333,8,512.125,5.84133787813376,2.07944154167984,6.23856873586703,-0.244666999272958,-0.0890190924928684,-0.585697958654084,"no","2"
1003,546.239583333333,8,721,6.30305767681531,2.07944154167984,6.58063913728495,0.886115253182538,-0.0890190924928684,1.22268752238921,"no","2"
1004,250.239583333333,21,525,5.52241879228736,3.04452243772342,6.26339826259162,-1.02572088362929,1.49546911006387,-0.454434465981808,"yes","4"
1005,929.239583333333,4,773.5,6.83436659935756,1.38629436111989,6.65092567001312,2.18732586164595,-1.22704133988704,1.59426350432637,"no","3"
1006,421.239583333333,15,557.8,6.04320175336874,2.70805020110221,6.32400047519339,0.249710950685905,0.943042581262174,-0.134055500324854,"yes","2"
1008,310.239583333333,12,628.916666666667,5.7373448484472,2.484906649788,6.44399876249687,-0.499352790708454,0.576681247219135,0.500326076128926,"no","4"
1009,308.239583333333,9,541.444444444444,5.73087734855646,2.19722457733622,6.29424046550729,-0.5151921246835,0.10435933953697,-0.291384427963651,"no","4"
1010,374.239583333333,12,504.916666666667,5.92489618946771,2.484906649788,6.22439339915699,-0.0400271814193863,0.576681247219135,-0.660637131961949,"no","2"
1011,243.239583333333,13,569,5.49404689726464,2.56494935746154,6.34388043412633,-1.09520552659204,0.708096889710195,-0.0289583362643242,"yes","4"
1012,263.239583333333,11,668.272727272727,5.57306458074718,2.39789527279837,6.50469636457572,-0.901686005949115,0.43382431067269,0.821209326707021,"no","4"
1013,311.239583333333,19,536.684210526316,5.74056298001674,2.94443897916644,6.28540985919779,-0.491471374153883,1.33115018094122,-0.338068210520455,"no","4"
1014,310.239583333333,10,654.3,5.7373448484472,2.30258509299405,6.48356596187569,-0.499352790708454,0.277342241550171,0.709501580895255,"no","4"
1015,462.239583333333,7,789,6.13608333530988,1.94591014905531,6.67076632084587,0.477184073430353,-0.308253477042298,1.69915286263295,"no","3"
1016,308.239583333333,11,435.090909090909,5.73087734855646,2.39789527279837,6.07555499566995,-0.5151921246835,0.43382431067269,-1.44748453756017,"yes","4"
1017,313.239583333333,11,546,5.74696833969839,2.39789527279837,6.30261897574491,-0.475784225651056,0.43382431067269,-0.247090691341961,"no","4"
1018,443.239583333333,8,543.75,6.09411044402015,2.07944154167984,6.29848958240289,0.374389693180262,-0.0890190924928684,-0.268921095066622,"yes","2"
1019,608.239583333333,2,611,6.41056885588334,0.693147180559945,6.4150969591716,1.14941722458995,-2.3650635872812,0.347534132444979,"no","3"
1020,300.239583333333,10,506.8,5.70458076704714,2.30258509299405,6.22811644844698,-0.579594187917302,0.277342241550171,-0.640954902066203,"no","4"
1021,275.239583333333,8,551.125,5.61764193050278,2.07944154167984,6.3119616436781,-0.792513135067092,-0.0890190924928684,-0.197699849648058,"yes","4"
1022,794.239583333333,6,778.833333333333,6.67738515796552,1.79175946922805,6.65779707347237,1.80286795362925,-0.561341000175034,1.63058978744993,"no","3"
