memberNumber,purchaseDate,itemName,Frequency
1808,2016-07-21,tropical fruit,1
2552,2016-01-05,whole milk,1
2300,2016-09-19,pip fruit,1
1187,2016-12-12,other vegetables,1
3037,2016-02-01,whole milk,1
4941,2016-02-14,rolls/buns,1
4501,2016-05-08,other vegetables,1
3803,2016-12-23,pot plants,1
2762,2016-03-20,whole milk,1
4119,2016-02-12,tropical fruit,1
1340,2016-02-24,citrus fruit,1
2193,2016-04-14,beef,1
1997,2016-07-21,frankfurter,1
4546,2016-09-03,chicken,1
4736,2016-07-21,butter,1
1959,2016-03-30,fruit/vegetable juice,1
1974,2016-05-03,packaged fruit/vegetables,1
2421,2016-09-02,chocolate,1
1513,2016-08-03,specialty bar,1
1905,2016-07-07,other vegetables,1
2810,2016-09-08,butter milk,1
2867,2016-11-12,whole milk,1
3962,2016-09-18,tropical fruit,1
1088,2016-11-30,tropical fruit,1
4976,2016-07-17,bottled water,1
4056,2016-06-12,yogurt,1
3611,2016-02-13,sausage,1
1420,2016-01-14,other vegetables,1
4286,2016-03-08,brown bread,1
4918,2016-01-27,yogurt,1
4783,2016-10-22,hamburger meat,1
3709,2016-10-26,root vegetables,1
4289,2016-10-08,pork,1
1559,2016-10-03,beef,1
2900,2016-04-11,pastry,1
1905,2016-02-21,fruit/vegetable juice,1
3527,2016-09-29,canned beer,1
1495,2016-01-09,root vegetables,1
3558,2016-04-03,citrus fruit,1
3128,2016-04-20,sausage,1
1863,2016-08-04,tropical fruit,1
3841,2016-07-19,berries,1
3903,2016-10-06,canned beer,1
2658,2016-10-16,butter milk,1
4272,2016-06-06,coffee,1
1120,2016-09-26,pastry,1
2676,2016-08-15,rolls/buns,1
1697,2016-05-21,misc. beverages,1
2507,2016-08-25,root vegetables,1
4620,2016-03-11,sausage,1
3365,2016-02-01,canned beer,1
2978,2016-06-05,ham,1
2910,2016-07-28,turkey,1
1061,2016-09-05,whole milk,1
3276,2016-04-03,whole milk,1
1326,2016-06-19,packaged fruit/vegetables,1
3023,2016-07-28,rolls/buns,1
2185,2016-10-11,ham,1
3552,2016-06-16,rolls/buns,1
1967,2016-01-20,other vegetables,1
4708,2016-03-20,sausage,1
2874,2016-02-15,sausage,1
4177,2016-04-13,frankfurter,1
1663,2016-02-07,rolls/buns,1
2632,2016-03-02,whole milk,1
1377,2016-03-14,curd cheese,1
4162,2016-12-22,red/blush wine,1
2270,2016-07-01,sausage,1
4829,2016-11-03,tropical fruit,1
3811,2016-04-14,red/blush wine,1
4766,2016-09-29,whole milk,1
2436,2016-04-12,frankfurter,1
3860,2016-05-05,whole milk,1
4875,2016-05-12,frozen potato products,1
1587,2016-07-01,other vegetables,1
4038,2016-07-08,citrus fruit,1
4750,2016-09-21,flour,1
1199,2016-12-10,sugar,1
1603,2016-09-30,frozen meals,1
3111,2016-01-31,chocolate,1
3894,2016-12-13,root vegetables,1
1456,2016-09-18,root vegetables,1
2022,2016-03-04,herbs,1
2505,2016-11-30,bottled water,1
4851,2016-12-20,sausage,1
4293,2016-08-04,coffee,1
2775,2016-11-06,pork,1
3693,2016-02-18,berries,1
1202,2016-07-22,soda,1
3699,2016-08-23,berries,1
4152,2016-04-15,fruit/vegetable juice,1
4155,2016-01-26,citrus fruit,1
4010,2016-12-29,pork,1
4389,2016-10-20,detergent,1
3746,2016-08-17,grapes,1
2560,2016-05-17,sausage,1
1503,2016-07-25,chicken,1
2555,2016-12-23,whole milk,1
3645,2016-12-12,citrus fruit,1
3886,2016-09-11,soda,1
