memberNumber,purchaseDate,itemName
1808,2016-07-21,tropical fruit
2552,2016-01-05,whole milk
2300,2016-09-19,pip fruit
1187,2016-12-12,other vegetables
3037,2016-02-01,whole milk
4941,2016-02-14,rolls/buns
4501,2016-05-08,other vegetables
3803,2016-12-23,pot plants
2762,2016-03-20,whole milk
4119,2016-02-12,tropical fruit
1340,2016-02-24,citrus fruit
2193,2016-04-14,beef
1997,2016-07-21,frankfurter
4546,2016-09-03,chicken
4736,2016-07-21,butter
1959,2016-03-30,fruit/vegetable juice
1974,2016-05-03,packaged fruit/vegetables
2421,2016-09-02,chocolate
1513,2016-08-03,specialty bar
1905,2016-07-07,other vegetables
2810,2016-09-08,butter milk
2867,2016-11-12,whole milk
3962,2016-09-18,tropical fruit
1088,2016-11-30,tropical fruit
4976,2016-07-17,bottled water
4056,2016-06-12,yogurt
3611,2016-02-13,sausage
1420,2016-01-14,other vegetables
4286,2016-03-08,brown bread
4918,2016-01-27,yogurt
4783,2016-10-22,hamburger meat
3709,2016-10-26,root vegetables
4289,2016-10-08,pork
1559,2016-10-03,beef
2900,2016-04-11,pastry
1905,2016-02-21,fruit/vegetable juice
3527,2016-09-29,canned beer
1495,2016-01-09,root vegetables
3558,2016-04-03,citrus fruit
3128,2016-04-20,sausage
1863,2016-08-04,tropical fruit
3841,2016-07-19,berries
3903,2016-10-06,canned beer
2658,2016-10-16,butter milk
4272,2016-06-06,coffee
1120,2016-09-26,pastry
2676,2016-08-15,rolls/buns
1697,2016-05-21,misc. beverages
2507,2016-08-25,root vegetables
4620,2016-03-11,sausage
3365,2016-02-01,canned beer
2978,2016-06-05,ham
2910,2016-07-28,turkey
1061,2016-09-05,whole milk
3276,2016-04-03,whole milk
1326,2016-06-19,packaged fruit/vegetables
3023,2016-07-28,rolls/buns
2185,2016-10-11,ham
3552,2016-06-16,rolls/buns
1967,2016-01-20,other vegetables
4708,2016-03-20,sausage
2874,2016-02-15,sausage
4177,2016-04-13,frankfurter
1663,2016-02-07,rolls/buns
2632,2016-03-02,whole milk
1377,2016-03-14,curd cheese
4162,2016-12-22,red/blush wine
2270,2016-07-01,sausage
4829,2016-11-03,tropical fruit
3811,2016-04-14,red/blush wine
4766,2016-09-29,whole milk
2436,2016-04-12,frankfurter
3860,2016-05-05,whole milk
4875,2016-05-12,frozen potato products
1587,2016-07-01,other vegetables
4038,2016-07-08,citrus fruit
4750,2016-09-21,flour
1199,2016-12-10,sugar
1603,2016-09-30,frozen meals
3111,2016-01-31,chocolate
3894,2016-12-13,root vegetables
1456,2016-09-18,root vegetables
2022,2016-03-04,herbs
2505,2016-11-30,bottled water
4851,2016-12-20,sausage
4293,2016-08-04,coffee
2775,2016-11-06,pork
3693,2016-02-18,berries
1202,2016-07-22,soda
3699,2016-08-23,berries
4152,2016-04-15,fruit/vegetable juice
4155,2016-01-26,citrus fruit
4010,2016-12-29,pork
4389,2016-10-20,detergent
3746,2016-08-17,grapes
2560,2016-05-17,sausage
1503,2016-07-25,chicken
2555,2016-12-23,whole milk
3645,2016-12-12,citrus fruit
3886,2016-09-11,soda
2932,2016-03-20,sausage
1711,2016-06-18,frankfurter
4291,2016-12-08,sausage
1143,2016-04-25,soda
4564,2016-07-08,rolls/buns
3337,2016-05-14,beef
4931,2016-05-04,whole milk
2623,2016-10-10,processed cheese
4581,2016-04-03,tropical fruit
2635,2016-06-11,frankfurter
1095,2016-10-30,packaged fruit/vegetables
2990,2016-05-23,whole milk
2426,2016-06-05,berries
4555,2016-11-07,citrus fruit
3635,2016-09-04,tropical fruit
3058,2016-05-18,hamburger meat
4391,2016-03-26,hamburger meat
1306,2016-06-23,whole milk
1024,2016-08-10,fish
1295,2016-07-23,frankfurter
